dataset,raw_name,harmonized_name,action,timestamp
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.980587
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.980594
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.980600
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.980604
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.980609
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.980613
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.980617
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.980620
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.980626
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.980631
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.980635
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.980639
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.987977
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.988012
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.988015
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.988018
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.988021
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.988024
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.988028
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.988031
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.988034
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.988043
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.988046
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.988050
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.988064
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.988069
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.988074
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.988077
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.988080
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.988085
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.988088
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.988091
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.988096
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.988099
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.988103
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.988106
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.988109
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.988112
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.988115
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.988118
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.988121
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.988124
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.988127
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.988130
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.988133
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.988136
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.988139
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.988142
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.988145
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.988149
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.988153
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.988156
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.988159
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.988163
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.988167
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.988170
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.988173
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.988176
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.988179
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.988182
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.991370
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.991391
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.991398
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.991407
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.991422
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.991429
