state_name_harmonized,cause_group,dalys_n,deaths_n,Incidence,Prevalence,ylds_n,ylls_n,yll_fraction,yld_fraction,yld_yll_ratio
Haryana,intentional_all,337063.55473323807,6208.05616833977,147553.17614047322,1262623.3738669076,25370.03463595028,311693.5200972876,0.9247321928470462,0.0752678071529533,0.0813941676683931
Haryana,other_transport,43338.7476984643,871.5523855937106,7433.739981747888,32365.06911289725,1996.039858739951,41342.70783972431,0.9539432963631591,0.046056703636839974,0.04828033680034011
Haryana,other_unintentional,960.574479669167,65.24657144825375,494.6814494442517,2601.4741737653007,7719.952434687685,13424.808273998098,13.975811931441026,8.036807762524075,0.5750512243545489
Haryana,poisoning,24786.86836386661,459.00615606785215,2423.9314746898194,3445.8522786476738,308.4546569195637,24478.41370694706,0.987555722958161,0.012444277041839525,0.012601088477887079
Haryana,road,389556.6908617457,7657.69712652339,148280.51199546584,353577.3192736688,22205.332677343664,367351.3581844023,0.9429984564551502,0.05700154354485051,0.060447122850154474
Haryana,self_harm,236590.9588101607,4302.082704288607,28275.714603381028,84851.29843932162,4529.795591642483,232061.16321851817,0.9808538939339723,0.01914610606602751,0.019519834895324748
Haryana,transport_all,432895.4385602104,8529.249512117098,155714.25197721375,385280.0331282234,24201.37253608361,408694.06602412654,0.9440941844603943,0.055905815539605185,0.05921635410937169
Haryana,unintentional_all,582709.6023713254,10570.25686574526,2324569.034748751,4297420.34791514,186028.00235113347,396681.60002019216,0.6807534978073196,0.3192465021926808,0.4689605021802477
Haryana,violence,99382.00148860554,1574.3299596997406,114761.53381130948,1164182.6838633574,20119.05095812156,79262.95053048407,0.797558404371357,0.2024415956286438,0.25382667215225463
Himachal Pradesh,all_injuries,243696.17342354785,4452.455766962832,658420.6045581157,1580163.248269438,67095.62553202592,176600.54789152186,0.7246750960860895,0.27532490391391023,0.37992875069243776
Himachal Pradesh,burns,6440.0645861710655,104.96802888861411,4706.061527470763,55582.28175702766,1791.3131680195856,4648.751418151484,0.7218485709186645,0.27815142908133617,0.3853321046647571
Himachal Pradesh,drowning,7723.590366950656,137.3158961178779,563.0184807608621,1601.936158837818,77.62502974581746,7645.965337204835,0.9899496184989329,0.01005038150106665,0.010152417166750475
Himachal Pradesh,falls,79667.72920665123,1518.164960679707,362190.58860089374,906262.1969397756,43139.043557081335,36528.68564956987,0.45851295139613685,0.5414870486038628,1.180963475415637
Himachal Pradesh,intentional_all,49933.75133091184,862.3804516231503,28167.59738061245,323289.18552861776,6104.669987607124,43829.08134330474,0.877744615117111,0.12225538488288953,0.13928354874222487
Himachal Pradesh,other_transport,4564.449189316218,84.49087243914781,1753.3532740809574,8931.047941169543,547.2132630316104,4017.2359262846094,0.8801140640775575,0.11988593592244287,0.13621636196450812
Himachal Pradesh,other_unintentional,5696.8712666629735,43.28318514117871,130.08390448020566,12524.505413838073,453.1135551075759,396.6019685742576,0.0696175058220287,0.07953726421011333,1.1424894251949165
