state_name_harmonized,year,cause_ncrb,deaths_n,source,note
Rajasthan,2023,total_accidental,30004,ncrb_adsi_2023,police-reported accidental deaths
Sikkim,2023,total_accidental,306,ncrb_adsi_2023,police-reported accidental deaths
Tamil Nadu,2023,total_accidental,32679,ncrb_adsi_2023,police-reported accidental deaths
Telangana,2023,total_accidental,13237,ncrb_adsi_2023,police-reported accidental deaths
Tripura,2023,total_accidental,651,ncrb_adsi_2023,police-reported accidental deaths
Uttarakhand,2023,total_accidental,2400,ncrb_adsi_2023,police-reported accidental deaths
Uttar Pradesh,2023,total_accidental,42355,ncrb_adsi_2023,police-reported accidental deaths
West Bengal,2023,total_accidental,14646,ncrb_adsi_2023,police-reported accidental deaths
Andaman & Nicobar Islands,2023,total_accidental,183,ncrb_adsi_2023,police-reported accidental deaths
Chandigarh,2023,total_accidental,312,ncrb_adsi_2023,police-reported accidental deaths
Dadra & Nagar Haveli and Daman & Diu,2023,total_accidental,242,ncrb_adsi_2023,police-reported accidental deaths
Delhi,2023,total_accidental,3508,ncrb_adsi_2023,police-reported accidental deaths
Jammu & Kashmir,2023,total_accidental,1450,ncrb_adsi_2023,police-reported accidental deaths
Ladakh,2023,total_accidental,133,ncrb_adsi_2023,police-reported accidental deaths
Lakshadweep,2023,total_accidental,3,ncrb_adsi_2023,police-reported accidental deaths
Puducherry,2023,total_accidental,1103,ncrb_adsi_2023,police-reported accidental deaths
