state_name_harmonized,gbd_road_dalys_n,gbd_road_deaths_n,morth_road_deaths_n,rank_gbd_road_dalys,rank_gbd_road_deaths,rank_morth_road_deaths,rank_mismatch_daly_vs_morth,notable_mismatch,rank_mismatch_gbd_death_vs_morth
Telangana,,610.6367233153104,7660.0,94.0,102.0,58.5,35.5,True,43.5
Telangana,,5224.065682406084,7660.0,94.0,29.0,58.5,35.5,True,-29.5
Telangana,,3046.234691625872,7660.0,94.0,54.0,58.5,35.5,True,-4.5
Telangana,,105.9992267295038,7660.0,94.0,136.0,58.5,35.5,True,77.5
Tripura,,654.0280431890707,,94.0,101.0,124.5,-30.5,True,-23.5
Tripura,,268.8293963646631,,94.0,116.0,124.5,-30.5,True,-8.5
Tripura,,53.22384076894896,,94.0,155.0,124.5,-30.5,True,30.5
Tripura,,86.13828833101299,,94.0,146.0,124.5,-30.5,True,21.5
Tripura,,242.6474373834978,,94.0,120.0,124.5,-30.5,True,-4.5
Tripura,,3.189080340947728,,94.0,179.0,124.5,-30.5,True,54.5
Uttar Pradesh,,48572.46392036178,23652.0,94.0,1.0,4.5,89.5,True,-3.5
Uttar Pradesh,,14661.4414390005,23652.0,94.0,9.0,4.5,89.5,True,4.5
Uttar Pradesh,,4630.50500944637,23652.0,94.0,36.0,4.5,89.5,True,31.5
Uttar Pradesh,,19678.973462249127,23652.0,94.0,2.0,4.5,89.5,True,-2.5
Uttar Pradesh,,9357.59726305528,23652.0,94.0,15.0,4.5,89.5,True,10.5
Uttar Pradesh,,243.9467466105096,23652.0,94.0,119.0,4.5,89.5,True,114.5
Uttarakhand,,4520.258151336345,,94.0,37.0,124.5,-30.5,True,-87.5
Uttarakhand,,1011.660579576442,,94.0,85.0,124.5,-30.5,True,-39.5
Uttarakhand,,445.2810812961437,,94.0,108.0,124.5,-30.5,True,-16.5
Uttarakhand,,1944.28757816592,,94.0,66.0,124.5,-30.5,True,-58.5
Uttarakhand,,1094.594150812194,,94.0,83.0,124.5,-30.5,True,-41.5
Uttarakhand,,24.43476148564265,,94.0,165.0,124.5,-30.5,True,40.5
West Bengal,,11827.354758394156,,94.0,13.0,124.5,-30.5,True,-111.5
West Bengal,,4786.504696589176,,94.0,32.0,124.5,-30.5,True,-92.5
West Bengal,,1419.8405190530111,,94.0,77.0,124.5,-30.5,True,-47.5
West Bengal,,2728.503741229002,,94.0,58.0,124.5,-30.5,True,-66.5
West Bengal,,2800.5959395715777,,94.0,57.0,124.5,-30.5,True,-67.5
West Bengal,,91.90986195138638,,94.0,142.0,124.5,-30.5,True,17.5
